"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Contact List API Testing","0","Parameterized Add User","5","0","","0"
"0","Contact List API Testing","0","Authentication","3","0","","0"
"0","Contact List API Testing","0","Parameterized Login","5","0","","0"
"0","Contact List API Testing","0","Parameterized Add Contact","4","0","","0"
"1","Contact List API Testing","0","Add Contact Management","5","0","","0"
"0","Contact List API Testing","1","Security Management","2","0","","0"
"1","Contact List API Testing","0","Add User Management","4","0","","0"
